stream	patch	mother_pl_id	mother_pl_id_old	offspring_id	offspring_id_new	n_bud-170511	n_bud-170518	n_fl-170518	n_bud-170521	n_fl-170521	n_bud-170524	n_fl-170524	n_bud-170528	n_fl-170528	n_bud-170602	n_fl-170602	n_bud-170609	n_fl-170609	n_bud-170616	n_fl-170616	n_fl-170619	diam_fl1	diam_fl2	diam_fl3
17	3	327 New?	327 New?	2	2				10	2	11	1	28	3	15	8		1				5	5,5	6,5
17	3	327 New?	327 New?	3	3		5		5	1	4	6	14	6	26	6		3				5	5,5	6
17	3	327 New?	327 New?	4	4				23	2	8	10	27	10	25	10		3				5,5	5	6
17	3	327 New?	327 New?	5	5								9	3	13	8			7	12		7	7	6
17	3	327 New?	327 New?	6	6																			
17	3	327 New?	327 New?	7	7							1	2		3									
17	3	327 New?	327 New?	8	8				6	1	7	2	13	3	15	4		1				8	7	6,5
17	3	327 New?	327 New?	9	9	4	12		16		27	5	45	12	48	15		4				6	6,5	7,5
17	3	327 New?	327 New?	10	10								3	1	5			5		3		7	6,5	6
17	3	Xtra	3x	1	1																			
17	3	Xtra	3x	2	2						3	1	7	6	12	3						7	7	7
17	3	Xtra	3x	3	3				8	2	9	2	22	9	19	5		2				6,5	6	7,5
17	3	Xtra	3x	4	4									2		1			1					
17	3	Xtra	3x	5	5																			
17	3	Xtra	3x	6	6								4	2	10	3						7	6	4
17	3	Xtra	3x	7	7								4	5	16	2		2				8	8	
17	3	Xtra	3x	8	8								1	1	4	1								
17	3	Xtra	3x	9	9										2									
17	3	Xtra	3x	10	10								6	1	6	1						8		
17	4	12	12	1	1						2	2	5					2						
17	4	12	12	2	2											1		1						
17	4	12	12	3	3																			
17	4	12	12	4	4								24	6	12	8						7	7	8
17	4	12	12	5	5																			
17	4	12	12	6	6				2		6	6	18	5	25	8		2				9	8,5	7,5
17	4	12	12	7	7																			
17	4	12	12	8	8																			
17	4	12	12	9	9						2	1	9	2	13	4						7	9	8
17	4	12	12	10	10								2											
17	4	49	49	1	1						2	2	14	2	9	3						7	7	5
17	4	49	49	2	2							3	8	4	5									
17	4	49	49	3	3						3	1	11		6			2						
17	4	49	49	4	4						3	1	13		8	2								
17	4	49	49	5	5																			
17	4	49	49	6	6						2	2	5	2	10									
17	4	49	49	7	7		3		5		4	1	11	1	8									
17	4	49	49	8	8				3	1	3	1	15	1	12	3		4						
17	4	49	49	9	9		9		12		11	2	21	2	16	1		3						
17	4	49	49	10	10						4	1												
17	4	131	131	1	1						1		2		1	1								
17	4	131	131	2	2												5	5				10	8	8,5
17	4	263	263	1	1														4	3		6,5	6	7
17	4	263	263	3	3						1	1	2	2	7	2		1				7	6	
17	4	263	263	5	5										2	2	5	3	2	4		7	4	5
17	4	263	263	6	6								3	2	2	2		2				6	6,5	
17	4	263	263	7	7									3	6	8	17	10	5	9	2	8	10	10
17	4	263	263	8	8							2	7	6	18	8		3		1		8	8	7,5
17	4	263	263	9	9						4	2	4	4	13	3		4	2	4		9	8	8,5
17	4	263	263	10	10											2		2				5	7,5	
17	4	314	314	3	3																			
17	4	314	314	4	4		3		10				17	21	35	12		9				5,5	6	7
17	4	314	314	5	5																			
17	4	314	314	6	6																			
17	4	314	314	9	9				6	1	11	3	23	3	22	9						6,5	7	6,5
17	4	314	314	10	10																			
17	5	85	85	1	1						4	2	11	5	28	5		4				7	10	10
17	5	85	85	2	2						13	5	28	6	31	7		6				8	7	9
17	5	85	85	3	3																			
17	5	85	85	4	4						13	1	18	6	24	5						8	8	5
17	5	85	85	5	5							2	14	5	23	7		8				7,5	9	4,5
17	5	85	85	6	6								5	1	3	5		2		7		11	10	8
17	5	85	85	7	7								2		3	2	4	6		3		9	8,8	9
17	5	85	85	8	8												20	11	12	20		11	11	11
17	5	85	85	9	9								3	1	7	5		3				8	7	7,5
17	5	85	85	10	10								2		3	2	3	3		2		7	7,5	6
17	5	172	172	1	1						4	1	17	7	31	7		6		4		9	9	8,5
17	5	172	172	2	2															1				
17	5	172	172	3	3																			
17	5	172	172	4	4						8	1	20	6	18	6		7				7	7,5	8
17	5	172	172	5	5								13	3	19	4		4		4		10	9	6
17	5	172	172	6	6																			
17	5	172	172	7	7												8	2		6		7	7	7
17	5	172	172	8	8				4	2	13	2	29	2	56	5						6	8	6
17	5	172	172	9	9											2	3			2				
17	5	172	172	10	10						5	5	11	5	21	5		2		3		6	9	6,5
17	5	215	215	1	1																			
17	5	215	215	3	3								2		1	1								
17	5	215	215	4	4						3	2	12	3	14	1		1						
17	5	215	215	5	5						2	3	9	2	13	2	4	4			2	6,5	7	6,5
17	5	215	215	6	6						3		14	1	15	4		3				8,5	7,5	5,5
17	5	215	215	7	7						4		16	6	29	5						10	5,5	7,5
17	5	215	215	8	8																			
17	5	215	215	9	9																			
17	5	215	215	10	10																			
17	5	290	290	1	1																			
17	5	290	290	2	2																			
17	5	290	290	4	4																			
17	5	290	290	5	5																			
17	5	290	290	6	6								1	1	4	2		3		6		7,5	7	7
17	5	290	290	7	7																			
17	5	290	290	9	9																			
17	5	290	290	10	10						1	1	8	4	12	3		5				7	6,5	7,5
17	5	290 New	290 New	1	11																			
17	5	290 New	290 New	3	3								5	3	6	4	5	10	6	4		8,5	7,5	7
17	5	290 New	290 New	4	12																			
17	5	290 New	290 New	5	13										4	3	1	3	2	3		6	7	7
17	5	290 New	290 New	6	14							2	6	3	10	4		2				9	6	5,5
17	5	290 New	290 New	7	15							2	6	2	13									
17	5	290 New	290 New	8	8															1				
17	5	290 New	290 New	9	16							1	9	1	7	4		4				7,5	8	5
17	5	290 New	290 New	10	17																			
17	5	357 New	357 New	1	1								5	3	8	9			2	5				
17	5	357 New	357 New	2	2								5		12	1	9	5	8	4		8	8	7
17	5	357 New	357 New	3	3							1	3	1										
17	5	357 New	357 New	4	4									1	2	1	2		2					
17	5	357 New	357 New	5	5									1	2		2							
17	5	357 New	357 New	6	6						3	4	9	4	18	3	30	5				5	7	6
17	5	357 New	357 New	7	7							2	8	7	10	6	5	10	4	10		7,5	7	7
17	5	357 New	357 New	8	8																			
17	5	357 New	357 New	9	9								4	4	8	5	15	5	8	7		9	9	9
17	5	New 357	New 357	10	10						1	1	3	1										
17	5	Xtra	5x	1	1																			
17	5	xtra	5x	2	2																			
17	5	Xtra	5x	3	3										13	9	18	14	14	6		9	10	11
17	5	Xtra	5x	4	4							1	2	1	6	8	16	5	3	4		9	7	7
17	5	Xtra	5x	5	5						4	4	17	3	15	4								
17	5	Xtra	5x	6	6																			
17	5	Xtra	5x	7	7																			
17	5	Xtra	5x	8	8								3		3	1	2			1				
17	5	Xtra	5x	9	9				3		5	5	20	8	35	12						6	7	7,5
17	5	Xtra	5x	10	10							1	7	3	8	3	9	1	3	1				
Main	1	377	377	2	2										2	2	10	4	4	8	6	5,5	6	6
Main	1	377	377	4	4																			
Main	1	377	377	6	6										1	3	12	8	6	8		6	7	8
Main	1	377	377	7	7								3		5									
Main	1	377	377	8	8								4	1	5	1	4	9				5	6	6
Main	1	377	377	9	9						5	1	28	5	30	11		2				7	6	6
Main	1	377	377	10	10								2		3	1		1		1		7		
Main	1	397	397	5	5		2		10		8		11	2	15	2		4				6,5	7	7
Main	1	522	522	1	1												1	3	2	1		5	5	5
Main	1	522	522	2	2																			
Main	1	522	522	3	3								1			1								
Main	1	522	522	4	4								7		6			1						
Main	1	522	522	5	5								3		3	5	5	1						
Main	1	522	522	6	6							2	5	2	7	2	15	14	7	6		6	6	7
Main	1	522	522	7	7												8	3				5	5	6,5
Main	1	522	522	8	8								2		4			3						
Main	1	522	522	10	10									1	5	4	20	5	5	5		7,5	7	6
Main	1	646	646	1	1								1	3	4	5	14	4	6	10	2	5	7	9
Main	1	646	646	2	2									1	4		3	1	4	1				
Main	1	646	646	3	3									1	5	2	11	4	10	8	2	8	9	9
Main	1	646	646	5	5												1	2	2	1				
Main	1	646	646	6	6								9	1	5		20	8	6	10	4	7	7	7
Main	1	646	646	8	8												2	2		1				
Main	1	646	646	9	9										2	5	10	6	2	7	2	8	8	7
Main	1	646	646	10	10									1	1	4	7	6	10	6	6	8	8	9
Main	1	871	871	1	1										2	1	14	2	2	4	4			
Main	1	871	871	5	5												4	1	3					
Main	1	871	871	6	6								2	4	6	4	26	7	16	7	10	7	9	9
Main	1	871	871	9	9								5	6	4	3	23	7	14	7	9	8	8	10
Main	1	553 New	553 New	1	1												3	4				5,5	6	6
Main	1	553 New	553 New	2	2								8	1			28	11	6	12		6	6	8
Main	1	553 New	553 New	3	3																			
Main	1	553 New	553 New	4	4								1		1	1	3							
Main	1	553 New	553 New	6	6							1	3	1	2	2								
Main	1	553 New	553 New	9	9																			
Main	1	553 New	553 New	10	10										3	3	9	6		3		6	6,5	6
Main	2	567	567	2	2								1		3	2	4			4				
Main	2	567	567	3	3																			
Main	2	567	567	5	5								4				4	6		4		5,5	6	6
Main	2	567	567	7	7													6	4	8	3	7	7	7,5
Main	2	567	567	9	9						4		10				4							
Main	2	567	567	10	10																			
Main	12	654	654	1	1										4	3	23	7		4		6	5	5
Main	2	732	732	1	1												2	2	2	1	1			
Main	2	732	732	2	2							1	10	3	10	14	6	4		6		6	7	6,5
Main	2	732	732	3	3						2		4		7		6	1						
Main	2	732	732	4	4								1		2	2	4	2						
Main	2	732	732	5	5		10		10		8	2	21	2	31	4	19	4		5		4,5	5,5	5
Main	2	732	732	6	6							1	8		5		7	3				6	6	6
Main	2	732	732	7	7								2		2	2	4	1						
Main	2	732	732	8	8										1	1	2	8	3	12		8	7	5
Main	2	732	732	9	9												1	1						
Main	2	761	761	1	1												4	2	2	2				
Main	2	761	761	2	2												3	2	6	1				
Main	2	761	761	4	4									1	1	3	4	5	1	2		9	8	8,5
Main	2	761	761	5	5								8	11	6	13	30	22	10	27	5	9	7	7
Main	2	761	761	6	6								5	3	8	2	15	11	5	7		6	5	5,5
Main	2	761	761	7	7									1	1	1	3	2		1				
Main	2	761	761	8	8										1	3	8	3	5	6		5	6,5	7
Main	2	761	761	9	9												4	5	3	3	2	6,5	6	5
Main	2	761	761	10	10										5	3	18	7	10	15		7	5	6
Main	2	857	857	1	1										1									
Main	2	857	857	2	2												3	4				6,5	7	6
Main	2	857	857	3	3								9	2	7	3	17	9		5		7	7	7
Main	2	857	857	4	4						7	1	19	1	24	5	18	8				7,5	6	6,5
Main	2	857	857	5	5												3	1						
Main	2	857	857	6	6								6		8	8	10	6				5,5	6	6,5
Main	2	857	857	7	7								10	1	14	4	9	2						
Main	2	857	857	8	8												6	2						
Main	2	776 New?	776 New?	1	1										15	8	24	17	8	10	6	8	7	7,5
Main	2	776 New?	776 New?	2	2								2	1	3	1	6	4	2	3		8	8,5	10
Main	2	776 New?	776 New?	3	3						4			3	7	4	20	6	7	9	2	6	8	7,5
Main	2	776 New?	776 New?	4	4										2	1	5	6	2	2		7	7	6,5
Main	2	776 New?	776 New?	5	5								14	3	11	6						8	7	7
Main	2	776 New?	776 New?	6	6								2	5	4	3	20	7	4	4		9	6	8
Main	2	776 New?	776 New?	7	7								8	4	17	6		2				9	7	7
Main	2	776 New?	776 New?	8	8									1	3	3	15	5	14	8		7	7,5	7,5
Main	2	776 New?	776 New?	9	9										7	2						7	6	
Main	2	776 New?	776 New?	10	10											2	4		2					
Main	5	549	549	6	6						5		5		5					10		6,5	5	6
Main	5	559	559	1	1										1	3		4						
Main	5	559	559	3	3				2		3		9		9		7	2						
Main	5	559	559	4	4																			
Main	5	559	559	5	5								2	1	2	1	28	7	4	15		9	8	8,5
Main	5	559	559	7	7										2	2	2	1	3	2				
Main	5	559	559	8	8																			
Main	5	559	559	9	9													4		2				
Main	5	730	730	2	2																			
Main	5	730	730	3	3								3	1	8	6	29	4	4	9		5	5,5	4
Main	5	730	730	4	4										10		20			18		5,5	6	6
Main	5	730	730	6	6								4	1	4	4	5	3						
Main	5	730	730	7	7										4		9	5	2	9		5	5	5
Main	5	730	730	9	9																			
Main	5	730	730	10	10																			
Main	5	786	786	4	4															2				
Main	5	786	786	5	5																			
Main	5	786	786	6	6									1	2		3	5	4	1		7	7,5	6,5
Main	5	786	786	9	9																			
Main	5	786	786	10	10																			
Main	5	795	795	1	1																			
Main	5	795	795	2	2																			
Main	5	795	795	3	3										3			3		4		6	7	6
Main	5	795	795	4	4												2	2		3		7	7	6
Main	5	795	795	6	6																			
Main	5	795	795	7	7																			
Main	5	795	795	8	8						5	1	8	2	17	4	4	2		7		5,5	5	4,5
Main	5	795	795	9	9									1	1									
Main	5	795	795	10	10												9	3	3	3		8	5	7
Main	5	1022	1022	1	1								3	3	12	3	19	3	3	6		7	7	6,5
Main	5	1022	1022	2	2								7		6	2	6	7	3	7		7	6	6
Main	5	1022	1022	3	3								1		2	1								
Main	5	1022	1022	4	4								10	5	20	5	65	18	8	5		8	5,5	7
Main	5	1022	1022	5	5										12	5	25	14	7	11		7	6	6
Main	5	1022	1022	6	6						2	1	7	5	1		3	1	4	2				
Main	5	1022	1022	7	7												15	14	12	14		8	8	7,5
Main	5	1022	1022	8	8								4	3	8	4	25	12	3	7		7	7	6
Main	5	1022	1022	9	9										2	1	4	2						
Main	5	1022	1022	10	10								11		10		5	2						
Main	11	531	531	1	1				4		4	1	10	8	10	8	6	4		3		10	9	9,5
Main	11	531	531	2	2							1	4							1				
Main	11	531	531	4	4				17	4	18	8	25	8	25	10	12	3						
Main	11	531	531	5	5																			
Main	11	531	531	7	7																			
Main	11	531	531	8	8																			
Main	11	531	531	9	9								4	1	5	4		2				8	7	9
Main	11	531	531	10	10																			
Main	11	748	748	1	1							1	2		7	1	11	5	9	8		8	8	7
Main	11	748	748	2	2						3		5	6	11	4	3	2						
Main	11	748	748	3	3								7	3	7	4	13	7	4	7		8	8	7
Main	11	748	748	4	4												8	6		5		9	7	6
Main	11	748	748	8	8																			
Main	11	748	748	10	10										5	3	16	7	4	5		7	8	7
Main	11	750	750	1	1																			
Main	11	750	750	2	2																			
Main	11	750	750	4	4																			
Main	11	750	750	6	6																			
Main	11	750	750	7	7					1		1	7	2	9	3	7	3		2		4,5	5	5
Main	11	750	750	10	10						1	1	8	2	4		1							
Main	11	964	964	1	1							1	7		6	1	4	1						
Main	11	964	964	2	2										3	2	4							
Main	11	964	964	4	4				4		3	1	7	2	7		3	2						
Main	11	964	964	5	5																			
Main	11	964	964	6	6						2		14		16		5	10		2				
Main	11	964	964	8	8				1		1	2	7		7		4	2						
Main	11	964	964	9	9		10		13		6	2	16	7	32	8	8	5		3		6,5	7	6,5
Main	11	964	964	10	10							2	14	3	21	4	4	9		14		6	6,5	5
Main	11	1047	1047	2	2								9	2	4	7	8	6		4		7	7	7,5
Main	11	1047	1047	3	3				9		10	7	21	4	44	5	15	6		8		6,5	7	7,5
Main	11	1047	1047	6	6							2	11	5	18	4	27	7	14	7	2	7,5	8	9
Main	11	1047	1047	9	9										5	3	18	10	8	10		7	7,5	7,5
Main	12	392	392	1	1								2	2			1			1				
Main	12	392	392	2	2																			
Main	12	392	392	3	3						3		5	2	13	2		2		1		7		
Main	12	392	392	4	4									2	7	2	20	8	3	4		7	8	11
Main	12	392	392	5	5												8		2	1				
Main	12	392	392	6	6									1	4	2	8	2	2	2		9	8	
Main	12	392	392	7	7								2		2	2	9			3				
Main	12	392	392	8	8									2	2	1	7	7	4	8		9	12	7
Main	12	392	392	9	9										6	5	15	9	6	14	2	7	8	8,5
Main	12	392	392	10	10								2		4	1	13	4	4	3		8	5	7
Main	12	524	524	1	1								5	1	3									
Main	12	524	524	2	2								3	6	30	19		10		2		6	8	9
Main	12	524	524	3	3								8	7	26	6		6		5		8	8	8
Main	12	524	524	4	4								4				2	1						
Main	12	524	524	5	5						3		6		9	6		5		3		9	8	7,5
Main	12	524	524	6	6								3	1	5			1						
Main	12	524	524	7	7																			
Main	12	524	524	8	8																			
Main	12	524	524	9	9																			
Main	12	524	524	10	10						5	1	7	2	15	6	35	13	6	5		7,5	7	9
Main	12	530	530	1	1																			
Main	12	530	530	2	2																			
Main	12	530	530	3	3																			
Main	12	530	530	4	4																			
Main	12	530	530	5	5										2	2	7	1	2	2	3			
Main	12	530	530	6	6							1	5	10	8	6	40	15	7	14		7	8	9
Main	12	530	530	7	7																			
Main	12	530	530	8	8										1	1		5				6	6,5	6,5
Main	12	530	530	9	9																			
Main	12	654	654	3	3																			
Main	12	654	654	4	4																			
Main	12	654	654	5	5									4	7	5				4	2	6	4	5
Main	12	654	654	6	6									1	7	1		4		5		7,5	6	6,5
Main	12	654	654	7	7																			
Main	12	654	654	8	8																			
Main	12	654	654	9	9								3	1	3	3	8	5	2	6		5	4,5	6
Main	12	690	690	1	1													3		1		6,5	6	6
Main	12	690	690	2	2								3	3	5	3	20	4	6	5		6	7	8
Main	12	690	690	4	4																			
Main	12	690	690	5	5								1		2	1				1				
Main	12	690	690	6	6																			
Main	12	690	690	7	7									2	4	2			1	1		7		
Main	12	690	690	8	8								3	3	10	1		1		2		7	8	
Main	12	690	690	9	9								4	2	5	2	22	3	2	3		10	7	9
Main	12	690	690	10	10								1		2			4		4				
Main 	11	750	750	3	3													1	2	2		6	6	
Main 	12	654	654	2	2																			
Park	1	428	428	1	1																			
Park	1	428	428	4	4								3	3	7	10	35	24	18	11		7	7	5,5
Park	1	428	428	5	5																			
Park	1	428	428	6	6																			
Park	1	428	428	7	7																			
Park	1	428	428	8	8				1		6		8	3	5	3		2				8	7,5	7
Park	1	428	428	9	9																			
Park	1	428	428	10	10															1				
Park	1	600	600	1	1								6	2	4	2		3						
Park	1	600	600	2	2																			
Park	1	600	600	3	3				15	1	20	3	20	8	25	7		12		6	3			
Park	1	600	600	4	4								2	1	5	3	10	12	6	10		8	7,5	8
Park	1	600	600	5	5																			
Park	1	600	600	6	6								3	1	5			1						
Park	1	600	600	7	7										2									
Park	1	600	600	8	8								4		5									
Park	1	600	600	9	9								2		3	2	7	9	3	11	1	10	6	7
Park	1	600	600	10	10						3		7	1	9	3		2				7	5,5	6
Park	1	605	605	1	1				10		10	1	10	1	10	5		2				6	6	7
Park	1	605	605	2	2										20	6	22	14	13	31		9	6	6,5
Park	1	605	605	3	3											1	3	6		3				
Park	1	605	605	4	4										2	1		1		1				
Park	1	605	605	5	5										1									
Park	1	605	605	6	6				13		9	3	20	5	35	12	8	12		7		7	6,5	7
Park	1	605	605	7	7									1										
Park	1	605	605	8	8										3	1	7	3	2	9	2	6,5	6	6
Park	1	605	605	9	9							2	3	3	5	3				3	1			
Park	1	605	605	10	10				7		9	2	15	3	15	2		3						
Park	1	782	782	1	1							3	6	10	13	12	7	16	8	21		9	8	7
Park	1	782	782	2	2							1	3	2	4	2	8	6	5	8		8	10	9
Park	1	782	782	3	3						3	1	11	5	14	3		1				6,5	7	5,5
Park	1	782	782	4	4				8		8		9	3	10	2		4		2				
Park	1	782	782	6	6																			
Park	1	782	782	7	7				5		3	1	8	2	10	3		2						
Park	1	782	782	8	8								3	3	6	4	6	9	1	5		7	7,5	7,5
Park	1	782	782	9	9							1	10	6	20	13	10	16	5	16		5	6	6,5
Park	1	782	782	10	10						1		8	5	7	13	8	16	4	12	2	7	7	7
Park	2	791	791	9	9										1	2		8						
Park	2	791	791	10	10				1		4		15	2	15	3		5				5,5	6	6
Park	2	432	432	1	1				7	2	9	6	23	3	14	2								
Park	2	432	432	2	2		20		20		22	16	42	22	40	21	40	22	3	6		7	8	7,5
Park	2	432	432	3	3				8	1	4	7	20	2	15									
Park	2	432	432	4	4				42	3	35	15	70	12	40	3						5,5	6	5
Park	2	432	432	5	5				22		19	7	45	8	32	5						4,5	5	5,5
Park	2	432	432	6	6						2	6	10	4	12	6	20	10	5	5		6,5	7	7
Park	2	432	432	7	7				21		16	12	48	10										
Park	2	432	432	8	8						8	8	25	12	25	12	25	18	12	6		6	7	6,5
Park	2	432	432	9	9								12	8	12	8	6	14	2	5		7	7	8
Park	2	432	432	10	10				2	1	3	3	6	1	6	2								
Park	2	441	441	1	1							4	9	3	7	3		1		1		6,5	7	6
Park	2	441	441	2	2						3	2	4	2	8			1		2				
Park	2	441	441	3	3																			
Park	2	441	441	4	4										5	3		1		2		5	6	4,5
Park	2	441	441	5	5																			
Park	2	441	441	6	6																			
Park	2	441	441	7	7						3	2	12	3	12	3		2				7	7	7
Park	2	441	441	8	8								1		3									
Park	2	441	441	10	10													1						
Park	2	771	771	1	1								6	1	23									
Park	2	771	771	2	2							1	4	1	6									
Park	2	771	771	3	3						5		16											
Park	2	771	771	4	4								12	3	10	5	18	17	8	13		7	7	8
Park	2	771	771	5	5								11	3	15	5	14	11	3	13		6	6	6,5
Park	2	771	771	6	6						6	2	20	3	20	10	30	16	4	18		6	6,5	6
Park	2	771	771	7	7																			
Park	2	771	771	8	8																			
Park	2	771	771	9	9						11	6	24	12	25	8		3				5,5	6	5
Park	2	771	771	10	10								22	4	30	8		6				6	8	7,5
Park	2	791	791	1	1						3	2	7	3	13	3	3	2		3		7,5	8	6,5
Park	2	791	791	2	2								3	2	2	2		3						
Park	2	791	791	3	3							1	2	1	2	2	17	8	3	5		7	8	6,5
Park	2	791	791	6	6					1	3	1	7		7	3		3		3		7	6,5	6
Park	2	791	791	7	7								14	6	10	9	45	19	21	27	2	8	8	9
Park	2	791	791	8	8																			
Park	2	867	867	1	1				12		8	7	20	7	5	17	6	20	5	14		7	6	6,5
Park	2	867	867	2	2						5	1	5	4	8	7	28	7	1	3		8	5	5
Park	2	867	867	3	3																			
Park	2	867	867	4	4	18	43	4	65	4	67	9	92	14	10	11		5		4		6,5	7	4,5
Park	2	867	867	5	5										4	2	3	2		4	4			
Park	2	867	867	6	6																			
Park	2	867	867	7	7								5	3	10	10	8	7	2	12		8,5	8	7,5
Park	2	867	867	8	8								5	4	13	9		3				9	8	7
Park	2	867	867	9	9																			
Park	2	867	867	10	10								26	3	27	11		2				6	6,5	5,5
Park	3	466	466	1	1																			
Park	3	466	466	2	2																			
Park	3	466	466	3	3																			
Park	3	466	466	4	4				4		4		4	1	2	1	2	4		2		6	5,5	5
Park	3	466	466	5	5																			
Park	3	466	466	6	6																			
Park	3	466	466	8	8																			
Park	3	466	466	9	9																			
Park	3	466	466	10	10											1								
Park	3	558	558	1	1									1		1								
Park	3	558	558	2	2				8		8	3	16	2	7	1								
Park	3	558	558	3	3								3	2	8	5	22	8	6	5		9	9	9
Park	3	558	558	4	4					1			5		7	2								
Park	3	558	558	5	5						1	1	2	2	4	1								
Park	3	558	558	6	6						3		5	1	7			2		1		7	6,5	
Park	3	558	558	7	7		3		5		6	4	11	3	18	2								
